batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed,k_flag,bb_flag,hr_flag,babip_flag,avg_flag,any_flag
Deadball,Cy Seymour,seymocy01,1905,Control,Red Lucas,lucasre01,1933,10000,0.0882,0.0467,0.0482,0.392,0.425,0.669,0.398,1323789969,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Tommy Byrne,byrneto01,1949,10000,0.1584,0.1226,0.0318,0.321,0.413,0.521,0.365,2674266075,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1681,0.1145,0.0335,0.32,0.407,0.527,0.367,2596634614,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,Dennis Eckersley,eckerde01,1985,10000,0.1386,0.046,0.0386,0.355,0.391,0.579,0.387,2941241687,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,Bret Saberhagen,saberbr01,1994,10000,0.1482,0.0462,0.0376,0.334,0.371,0.543,0.366,2068802920,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,Jon Lieber,liebejo01,2004,10000,0.1087,0.0445,0.0489,0.384,0.418,0.658,0.399,1222716372,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,Carlos Silva,silvaca01,2005,10000,0.0742,0.046,0.0487,0.397,0.43,0.671,0.397,3981188461,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,Cliff Lee,leecl02,2010,10000,0.1362,0.0453,0.0377,0.358,0.394,0.581,0.39,1143757416,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,Phil Hughes,hugheph01,2014,10000,0.1333,0.0411,0.0403,0.36,0.392,0.591,0.388,909417103,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Gerrit Cole,colege01,2019,10000,0.1742,0.0749,0.0287,0.32,0.379,0.506,0.372,2407993809,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,George Kirby,kirbyge01,2023,10000,0.1236,0.0434,0.0466,0.363,0.399,0.622,0.383,956390830,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,Bill Burns,burnsbi01,1908,10000,0.1366,0.0386,0.0497,0.374,0.406,0.643,0.4,1679220293,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.1435,0.0878,0.0439,0.372,0.436,0.635,0.409,3885876714,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.1633,0.096,0.0394,0.337,0.408,0.565,0.379,3934540837,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,Babe Adams,adamsba01,1920,10000,0.1601,0.0256,0.049,0.349,0.372,0.601,0.381,616374219,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,Red Lucas,lucasre01,1933,10000,0.1046,0.0284,0.0539,0.396,0.42,0.686,0.407,3790531427,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Wild-Flames,Bobo Newsom,newsobo01,1938,10000,0.1958,0.0926,0.0321,0.313,0.385,0.51,0.372,3981255897,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1794,0.1032,0.038,0.32,0.398,0.539,0.367,1337828059,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,K-Kings,Sandy Koufax,koufasa01,1965,10000,0.1867,0.0579,0.0365,0.324,0.37,0.532,0.374,416068662,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,Dennis Eckersley,eckerde01,1985,10000,0.1655,0.0246,0.045,0.352,0.376,0.595,0.391,3359517887,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,Bret Saberhagen,saberbr01,1994,10000,0.1593,0.0265,0.0399,0.344,0.368,0.569,0.382,3084099727,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,K-Kings,Curt Schilling,schilcu01,1997,10000,0.1911,0.0541,0.0361,0.316,0.358,0.517,0.366,1427761039,False,False,False,True,False,True
