batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Nolan Ryan,ryanno01,1973,10000,0.2391,0.1092,0.0119,0.204,0.3,0.279,0.267,3081375821
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Nolan Ryan,ryanno01,1977,10000,0.2359,0.1284,0.0127,0.194,0.307,0.268,0.252,2873413254
Deadball,Jesse Burkett,burkeje01,1901,Control,Dennis Eckersley,eckerde01,1985,10000,0.207,0.0533,0.0175,0.268,0.315,0.382,0.328,800218553
Deadball,Jesse Burkett,burkeje01,1901,Control,Bret Saberhagen,saberbr01,1994,10000,0.2067,0.049,0.0198,0.248,0.291,0.36,0.299,3046661773
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Curt Schilling,schilcu01,1997,10000,0.2345,0.0785,0.0141,0.236,0.304,0.329,0.304,1176512350
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Pedro Martinez,martipe02,1999,10000,0.2453,0.0641,0.0114,0.176,0.237,0.243,0.226,1079201158
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Randy Johnson,johnsra05,2001,10000,0.241,0.0945,0.011,0.207,0.29,0.282,0.271,1275019110
Deadball,Jesse Burkett,burkeje01,1901,Control,Jon Lieber,liebejo01,2004,10000,0.1776,0.0479,0.0235,0.299,0.338,0.446,0.348,1523605377
Deadball,Jesse Burkett,burkeje01,1901,Control,Carlos Silva,silvaca01,2005,10000,0.1573,0.0494,0.0264,0.322,0.362,0.485,0.365,1332568384
Deadball,Jesse Burkett,burkeje01,1901,Control,Cliff Lee,leecl02,2010,10000,0.2016,0.0484,0.0158,0.251,0.296,0.357,0.305,1474511805
Deadball,Jesse Burkett,burkeje01,1901,Control,Phil Hughes,hugheph01,2014,10000,0.2006,0.0519,0.0186,0.259,0.304,0.374,0.313,3177476953
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Gerrit Cole,colege01,2019,10000,0.2283,0.0845,0.0148,0.232,0.305,0.331,0.295,799925165
Deadball,Jesse Burkett,burkeje01,1901,Control,George Kirby,kirbyge01,2023,10000,0.1873,0.0527,0.0236,0.276,0.323,0.414,0.324,3335058805
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Rube Waddell,wadderu01,1904,10000,0.1649,0.1021,0.0361,0.31,0.389,0.513,0.349,101541262
Deadball,Ed Delahanty,delahed01,1902,Control,Bill Burns,burnsbi01,1908,10000,0.0961,0.0732,0.0567,0.394,0.445,0.692,0.399,985481443
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Walter Johnson,johnswa01,1910,10000,0.1738,0.0944,0.0383,0.278,0.353,0.473,0.309,1290299821
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.0999,0.126,0.0562,0.397,0.479,0.715,0.405,4117119388
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Weldon Wyckoff,wyckowe01,1915,10000,0.1357,0.1335,0.046,0.333,0.429,0.584,0.354,1489707551
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.137,0.1283,0.0454,0.359,0.448,0.62,0.388,3391469124
Deadball,Ed Delahanty,delahed01,1902,Control,Babe Adams,adamsba01,1920,10000,0.1324,0.0558,0.0512,0.371,0.413,0.644,0.393,502216059
Deadball,Ed Delahanty,delahed01,1902,Control,Harry Salmon,salmoha01,1929,10000,0.1807,0.0626,0.0339,0.308,0.359,0.494,0.353,3124812014
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Bump Hadley,hadlebu01,1932,10000,0.1599,0.1378,0.0373,0.328,0.429,0.544,0.369,3466862900
Deadball,Ed Delahanty,delahed01,1902,Control,Red Lucas,lucasre01,1933,10000,0.0621,0.0593,0.0624,0.421,0.461,0.742,0.409,3861012586
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Bob Feller,fellebo01,1938,10000,0.1816,0.1378,0.0355,0.29,0.398,0.486,0.334,3559656730
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Bobo Newsom,newsobo01,1938,10000,0.1612,0.121,0.0377,0.323,0.413,0.536,0.362,770711776
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Bob Feller,fellebo01,1946,10000,0.1822,0.1147,0.0314,0.282,0.372,0.457,0.325,4172124331
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Tommy Byrne,byrneto01,1949,10000,0.1425,0.1376,0.0442,0.338,0.438,0.585,0.366,3177015157
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Bob Turley,turlebo01,1954,10000,0.1549,0.1353,0.0437,0.313,0.415,0.548,0.341,908673790
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1521,0.1222,0.0418,0.331,0.421,0.562,0.365,261757064
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Sandy Koufax,koufasa01,1965,10000,0.1518,0.0883,0.0413,0.319,0.386,0.538,0.348,2252661396
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Sam McDowell,mcdowsa01,1965,10000,0.1586,0.1267,0.0416,0.3,0.397,0.517,0.328,2425497826
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Nolan Ryan,ryanno01,1973,10000,0.1633,0.1232,0.0424,0.311,0.403,0.536,0.344,1875903840
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Nolan Ryan,ryanno01,1977,10000,0.1616,0.1377,0.0369,0.298,0.403,0.504,0.333,4128164585
Deadball,Ed Delahanty,delahed01,1902,Control,Dennis Eckersley,eckerde01,1985,10000,0.1388,0.0636,0.0507,0.36,0.408,0.628,0.384,2194982162
Deadball,Ed Delahanty,delahed01,1902,Control,Bret Saberhagen,saberbr01,1994,10000,0.1363,0.0605,0.0553,0.356,0.4,0.634,0.373,1277687345
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Curt Schilling,schilcu01,1997,10000,0.1639,0.0864,0.0452,0.326,0.392,0.556,0.359,3512760396
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Pedro Martinez,martipe02,1999,10000,0.1713,0.0779,0.0381,0.282,0.346,0.469,0.312,2226616963
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Randy Johnson,johnsra05,2001,10000,0.1643,0.1019,0.0424,0.309,0.387,0.527,0.341,522071741
Deadball,Ed Delahanty,delahed01,1902,Control,Jon Lieber,liebejo01,2004,10000,0.0892,0.0604,0.0573,0.399,0.443,0.704,0.401,3458355460
Deadball,Ed Delahanty,delahed01,1902,Control,Carlos Silva,silvaca01,2005,10000,0.0578,0.0644,0.0648,0.419,0.463,0.751,0.403,1627659123
Deadball,Ed Delahanty,delahed01,1902,Control,Cliff Lee,leecl02,2010,10000,0.1295,0.0605,0.0536,0.362,0.407,0.639,0.38,2211037013
Deadball,Ed Delahanty,delahed01,1902,Control,Phil Hughes,hugheph01,2014,10000,0.1143,0.0628,0.0533,0.372,0.417,0.65,0.384,1908580157
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Gerrit Cole,colege01,2019,10000,0.1509,0.0898,0.0444,0.336,0.402,0.57,0.366,654491285
Deadball,Ed Delahanty,delahed01,1902,Control,George Kirby,kirbyge01,2023,10000,0.1124,0.0613,0.0587,0.38,0.424,0.676,0.389,2324342246
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Rube Waddell,wadderu01,1904,10000,0.1899,0.0906,0.0285,0.283,0.355,0.453,0.332,2650831949
Deadball,Cy Seymour,seymocy01,1905,Control,Bill Burns,burnsbi01,1908,10000,0.1114,0.0572,0.0401,0.372,0.415,0.615,0.393,3549021879
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Walter Johnson,johnswa01,1910,10000,0.1771,0.0734,0.0275,0.267,0.328,0.421,0.305,2837913025
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.117,0.1112,0.0424,0.367,0.445,0.623,0.39,2807735430
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Weldon Wyckoff,wyckowe01,1915,10000,0.1445,0.1092,0.0359,0.316,0.4,0.522,0.347,3061936501
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.1465,0.1131,0.0325,0.342,0.425,0.553,0.383,2785490890
Deadball,Cy Seymour,seymocy01,1905,Control,Babe Adams,adamsba01,1920,10000,0.1407,0.0461,0.0376,0.355,0.392,0.581,0.388,1167793205
Deadball,Cy Seymour,seymocy01,1905,Control,Harry Salmon,salmoha01,1929,10000,0.1939,0.0392,0.0291,0.294,0.33,0.458,0.345,2122473176
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Bump Hadley,hadlebu01,1932,10000,0.1785,0.1247,0.0283,0.305,0.401,0.488,0.358,631413201
Deadball,Cy Seymour,seymocy01,1905,Control,Red Lucas,lucasre01,1933,10000,0.0882,0.0467,0.0482,0.392,0.425,0.669,0.398,1323789969
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Bob Feller,fellebo01,1938,10000,0.1932,0.1202,0.0226,0.277,0.372,0.421,0.333,4148336206
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Bobo Newsom,newsobo01,1938,10000,0.1821,0.1072,0.0289,0.303,0.386,0.475,0.356,4026346244
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Bob Feller,fellebo01,1946,10000,0.2007,0.0964,0.023,0.26,0.338,0.397,0.313,3409056035
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Tommy Byrne,byrneto01,1949,10000,0.1584,0.1226,0.0318,0.321,0.413,0.521,0.365,2674266075
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Bob Turley,turlebo01,1954,10000,0.1549,0.1136,0.0315,0.296,0.385,0.483,0.331,2326869106
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1681,0.1145,0.0335,0.32,0.407,0.527,0.367,2596634614
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Sandy Koufax,koufasa01,1965,10000,0.1676,0.0716,0.0309,0.308,0.364,0.492,0.35,2723005279
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Sam McDowell,mcdowsa01,1965,10000,0.1685,0.1081,0.0299,0.28,0.365,0.454,0.317,3738657615
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Nolan Ryan,ryanno01,1973,10000,0.1832,0.0989,0.0291,0.289,0.367,0.458,0.336,4009443464
