player_id,player_name,season_year,role,position_group_used,PA_BF,RAR_bat,RAR_pit,WAR,salary
hammoje01,Jeffrey Hammonds,2000,hitter,UTIL,600,24.11,0.0,2.41,9350684
johnsch04,Charles Johnson,2000,hitter,UTIL,600,24.14,0.0,2.41,9350684
bentola01,Larry Benton,1927,pitcher,SP,750,0.0,23.93,2.39,9285533
bondsba01,Barry Bonds,2000,hitter,UTIL,600,23.89,0.0,2.39,9285533
coopeda02,Darltie Cooper,1927,pitcher,SP,750,0.0,23.81,2.38,9252957
hartnga01,Gabby Hartnett,1927,hitter,UTIL,600,23.74,0.0,2.37,9220382
wilsopr01,Preston Wilson,2000,hitter,UTIL,600,23.28,0.0,2.33,9090080
blakesh01,Sheriff Blake,1927,pitcher,SP,750,0.0,23.1,2.31,9024929
schanwa01,Wally Schang,1927,hitter,UTIL,600,22.97,0.0,2.3,8992354
fergual01,Alex Ferguson,1927,pitcher,SP,750,0.0,22.89,2.29,8959778
uhlege01,George Uhle,1927,pitcher,SP,703,0.0,22.93,2.29,8959778
griffke02,Ken Griffey,2000,hitter,UTIL,600,22.89,0.0,2.29,8959778
russejo03,John Henry Russell,1927,hitter,UTIL,600,22.75,0.0,2.28,8927203
martied01,Edgar Martinez,2000,hitter,UTIL,600,22.83,0.0,2.28,8927203
posadjo01,Jorge Posada,2000,hitter,UTIL,600,22.69,0.0,2.27,8894627
vandejo02,John Vander Wal,2000,hitter,UTIL,600,22.67,0.0,2.27,8894627
hoytwa01,Waite Hoyt,1927,pitcher,SP,750,0.0,22.46,2.25,8829476
rhemfl01,Flint Rhem,1927,pitcher,SP,738,0.0,22.43,2.24,8796901
bellwi01,William Bell,1927,pitcher,SP,668,0.0,22.26,2.23,8764325
sanpe01,Pedro San,1927,pitcher,SP,630,0.0,22.27,2.23,8764325
moorewi01,Wilcy Moore,1927,pitcher,SP,750,0.0,22.17,2.22,8731750
