player_id,player_name,season_year,role,position_group_used,PA_BF,RAR_bat,RAR_pit,WAR,salary
willocl01,Claude Willoughby,1927,pitcher,SP,462,0.0,-3.71,-0.37,1500000
bellda01,David Bell,2000,hitter,UTIL,600,-3.67,0.0,-0.37,1500000
hartlgr01,Grover Hartley,1927,hitter,UTIL,600,-3.84,0.0,-0.38,1500000
tomli01,Tomlin,1927,hitter,UTIL,600,-3.9,0.0,-0.39,1500000
myerbu01,Buddy Myer,1927,hitter,UTIL,600,-3.98,0.0,-0.4,1500000
washina01,Namon Washington,1927,hitter,UTIL,600,-4.01,0.0,-0.4,1500000
gwynnto01,Tony Gwynn,2000,hitter,UTIL,600,-4.02,0.0,-0.4,1500000
cardefr01,Francisco Cárdenas,1927,hitter,UTIL,600,-4.07,0.0,-0.41,1500000
colebe01,Bert Cole,1927,pitcher,SP,292,0.0,-4.06,-0.41,1500000
johnsju99,Judy Johnson,1927,hitter,UTIL,600,-4.13,0.0,-0.41,1500000
glanvdo01,Doug Glanville,2000,hitter,UTIL,600,-4.07,0.0,-0.41,1500000
hohmabi01,Bill Hohman,1927,hitter,UTIL,600,-4.16,0.0,-0.42,1500000
jackssa02,Sanford Jackson,1927,hitter,UTIL,600,-4.19,0.0,-0.42,1500000
blankte01,Ted Blankenship,1927,pitcher,SP,750,0.0,-4.41,-0.44,1500000
woodala01,Larry Woodall,1927,hitter,UTIL,600,-4.49,0.0,-0.45,1500000
barrebi02,Bill Barrett,1927,hitter,UTIL,600,-4.6,0.0,-0.46,1500000
gardnje02,Jelly Gardner,1927,hitter,UTIL,600,-4.56,0.0,-0.46,1500000
robinne02,Newt Robinson,1927,hitter,UTIL,600,-4.61,0.0,-0.46,1500000
easleda01,Damion Easley,2000,hitter,UTIL,600,-4.56,0.0,-0.46,1500000
castial01,Alberto Castillo,2000,hitter,UTIL,600,-4.68,0.0,-0.47,1500000
carlycl01,Cleo Carlyle,1927,hitter,UTIL,600,-4.82,0.0,-0.48,1500000
schubhe01,Heinie Schuble,1927,hitter,UTIL,600,-4.84,0.0,-0.48,1500000
shankjo01,John Shanks,1927,hitter,UTIL,600,-4.85,0.0,-0.48,1500000
turneco01,Cool Turner,1927,hitter,UTIL,600,-4.79,0.0,-0.48,1500000
barremi01,Michael Barrett,2000,hitter,UTIL,600,-4.79,0.0,-0.48,1500000
harribu01,Bucky Harris,1927,hitter,UTIL,600,-4.85,0.0,-0.49,1500000
kammwi01,Willie Kamm,1927,hitter,UTIL,600,-4.93,0.0,-0.49,1500000
deberha01,Hank DeBerry,1927,hitter,UTIL,600,-5.04,0.0,-0.5,1500000
